condition_id,scene_id,inflation_mm,engine,threshold_category_mm,direction_count
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,14,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,16,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,18,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,20,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,22,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,24,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,26,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,28,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,30,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,32,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,34,2
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,36,4
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,38,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,40,3
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,42,4
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,44,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,46,3
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,48,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,50,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,52,3
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,54,3
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,56,0
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,58,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,60,1
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,curobo,>60,101
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,2,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,4,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,6,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,8,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,10,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,12,5
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,14,8
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,16,7
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,18,4
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,20,4
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,22,4
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,24,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,26,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,28,2
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,30,4
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,32,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,34,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,36,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,38,2
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,40,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,42,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,44,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,46,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,48,3
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,50,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,52,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,54,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,56,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,58,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,60,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,physx,>60,78
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,2,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,4,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,6,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,8,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,10,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,12,4
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,14,7
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,16,7
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,18,5
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,20,3
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,22,4
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,24,3
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,26,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,28,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,30,3
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,32,4
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,34,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,36,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,38,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,40,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,42,0
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,44,1
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,curobo,46,0
