attempt_id,round_id,execution_position,condition_id,scene_id,inflation_mm,planning_success,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad
round_06__position_03__multiscene_candidate_006__inflation_010mm,6,103,multiscene_candidate_006__inflation_010mm,multiscene_candidate_006,10,True,"[41,7]",True,0.0,0.0,0.9451422691345215,0.9451422691345215,0.0,True,True
round_06__position_04__multiscene_candidate_006__inflation_015mm,6,104,multiscene_candidate_006__inflation_015mm,multiscene_candidate_006,15,True,"[41,7]",True,0.0,0.0,0.9466080665588379,0.9466080665588379,0.0,True,True
round_06__position_05__multiscene_candidate_006__inflation_020mm,6,105,multiscene_candidate_006__inflation_020mm,multiscene_candidate_006,20,True,"[41,7]",True,0.0,0.0,0.9485822916030884,0.9485822916030884,0.0,True,True
round_06__position_06__formal_baseline_v1__inflation_000mm,6,106,formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,True,"[41,7]",True,0.0,0.0,0.9438674449920654,0.9438674449920654,0.0,True,True
round_06__position_07__formal_baseline_v1__inflation_005mm,6,107,formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,True,"[41,7]",True,0.0,0.0,0.9439100027084351,0.9439100027084351,0.0,True,True
round_06__position_08__formal_baseline_v1__inflation_010mm,6,108,formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,True,"[41,7]",True,0.0,0.0,0.9444064497947693,0.9444064497947693,0.0,True,True
round_06__position_09__formal_baseline_v1__inflation_015mm,6,109,formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,True,"[41,7]",True,0.0,0.0,0.9454147815704346,0.9454147815704346,0.0,True,True
round_06__position_10__formal_baseline_v1__inflation_020mm,6,110,formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,True,"[41,7]",True,0.0,0.0,0.9469339847564697,0.9469339847564697,0.0,True,True
round_06__position_11__multiscene_candidate_001__inflation_000mm,6,111,multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,True,"[41,7]",True,0.0,0.0,0.9438675045967102,0.9438675045967102,0.0,True,True
round_06__position_12__multiscene_candidate_001__inflation_005mm,6,112,multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,True,"[41,7]",True,0.0,0.0,0.9440393447875977,0.9440393447875977,0.0,True,True
round_06__position_13__multiscene_candidate_001__inflation_010mm,6,113,multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,True,"[41,7]",True,0.0,0.0,0.9447669386863708,0.9447669386863708,0.0,True,True
round_06__position_14__multiscene_candidate_001__inflation_015mm,6,114,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True
